时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
19:49:06,1718,70,388,0,0,664,1,6531,5084,2137,1741,3179,2821,5438,4720,65535,65535,31968,9532,1618,6550,3477,9713
19:49:08,3304,70,893,0,0,666,1,6258,4409,2790,2257,2518,1913,7025,10976,65535,65535,29378,6208,6417,5676,5055,9279
19:49:10,3482,70,956,0,0,669,1,9166,5897,3640,2497,1664,3823,1472,28592,65535,65535,27399,9135,4737,3662,4997,6409
19:49:13,3349,70,915,0,0,671,1,13445,8830,5329,7723,5672,6321,9055,15389,65535,65535,35511,6457,2851,2865,3762,7699
19:49:15,1602,70,348,0,0,673,1,2694,6251,2720,3334,938,1888,2133,11004,34291,31763,11310,3819,980,430,2283,264
19:49:17,1342,62,267,0,0,675,1,1501,5220,4084,3265,547,2690,3918,13454,50027,51357,19141,5467,4031,4034,4755,5879
19:49:19,1829,70,401,0,0,677,1,510,5199,3278,4271,4039,5700,5990,12972,65535,65535,27574,4407,1029,752,2496,4598
19:49:21,1352,62,270,0,0,680,1,2234,4851,1924,213,724,1891,4108,7263,34683,23194,5591,1218,426,1366,2456,3307
19:49:24,3348,70,910,0,0,682,1,8810,10790,1750,4261,4251,2786,4507,28872,62205,65535,21116,2610,3310,3912,4876,8071
19:49:26,3379,70,956,0,0,684,1,8108,5155,427,1457,2146,2863,9601,10703,47448,43389,11656,2987,2056,2322,748,4050
19:49:28,1769,62,370,0,0,686,1,4610,4188,2402,1680,1974,1844,7440,10555,65535,65535,33387,7534,3266,4059,6107,7769
19:49:30,3490,70,942,0,0,688,1,277,1786,1285,3178,1677,3363,6895,7788,65535,65535,34138,7005,6323,6497,7182,10190
19:49:32,1538,62,319,0,0,691,1,1278,3386,2109,254,902,1539,1593,10342,40848,34264,12564,2775,3080,1999,3973,3664
19:49:35,1641,70,377,0,0,693,1,910,4383,835,1444,1338,622,3767,5614,65535,65535,28948,12373,632,7311,367,9053
19:49:37,2641,70,680,0,0,695,1,7517,8165,2078,2967,2354,912,3557,21779,65535,65535,27226,8293,2920,6299,3552,9225
19:49:39,2789,70,744,0,0,697,1,4289,3576,704,962,1892,1635,3845,12799,49203,45405,13528,679,2132,1928,1987,5390
19:49:41,1636,62,310,0,0,700,1,4454,4507,160,1687,399,2407,4960,6924,52268,63113,26194,6810,4629,4962,5591,6140
19:49:44,3240,70,891,0,0,702,1,7665,7572,2052,2930,464,1805,2617,29229,65535,65535,26073,7514,4466,2380,4591,5568
19:49:46,1927,70,411,0,0,704,1,4302,6992,1108,3312,996,1634,3537,13476,62914,65535,25225,6360,4384,3905,2832,4720
19:49:48,2305,70,527,0,0,706,1,4803,7135,2107,1114,2474,2594,8547,15958,65535,65535,30236,3892,4428,3573,3732,7016
19:49:50,2640,70,667,0,0,708,1,4175,5178,3669,3619,4396,4689,9171,4147,58177,65535,27728,3189,1329,1595,3287,4718
19:49:52,2726,70,683,0,0,711,1,761,4980,213,3136,914,2428,3439,23666,65535,65535,23855,5539,2971,3929,4438,6069
19:49:55,2079,62,445,0,0,713,1,2593,1777,4819,7829,8409,8272,16665,29352,57035,35984,17924,10215,9665,7555,5751,10225
19:49:57,2413,70,609,0,0,715,1,7021,5771,3309,3188,3038,3327,8749,9509,65535,65535,35210,7096,3013,3028,3469,6862
